Time (UTC),Machines > Bridgeport Mill 3 > Spindle > X-Axial > Damage Accumulation,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Damage Accumulation
2/29/2020 5:00,9.78E-01,1.09E+00
2/29/2020 5:09,9.52E-01,1.12E+00
2/29/2020 5:19,1.04E+00,1.14E+00
2/29/2020 5:29,1.05E+00,1.08E+00
2/29/2020 5:39,1.03E+00,1.08E+00
2/29/2020 5:49,9.90E-01,1.09E+00
2/29/2020 5:59,1.00E+00,1.11E+00
2/29/2020 6:10,1.03E+00,1.07E+00
2/29/2020 6:19,9.75E-01,1.12E+00
2/29/2020 6:29,9.58E-01,1.08E+00
2/29/2020 6:39,1.10E+00,1.07E+00
2/29/2020 6:49,1.03E+00,1.08E+00
2/29/2020 6:59,9.04E-01,1.09E+00
2/29/2020 7:09,1.08E+00,1.18E+00
2/29/2020 7:20,1.04E+00,1.06E+00
2/29/2020 7:29,1.01E+00,1.18E+00
2/29/2020 7:39,1.01E+00,1.11E+00
2/29/2020 7:49,1.05E+00,1.09E+00
2/29/2020 7:59,1.01E+00,1.15E+00
2/29/2020 8:09,9.91E-01,1.08E+00
2/29/2020 8:19,1.10E+00,1.13E+00
2/29/2020 8:30,9.05E-01,1.12E+00
2/29/2020 8:40,1.04E+00,1.09E+00
2/29/2020 8:49,1.03E+00,1.03E+00
2/29/2020 8:59,9.81E-01,1.07E+00
2/29/2020 9:09,1.06E+00,1.08E+00
2/29/2020 9:19,9.95E-01,1.12E+00
2/29/2020 9:29,9.25E-01,1.12E+00
2/29/2020 9:40,9.47E-01,1.06E+00
2/29/2020 9:49,9.74E-01,1.14E+00
2/29/2020 9:59,1.03E+00,1.11E+00
2/29/2020 10:09,9.29E-01,1.12E+00
2/29/2020 10:19,9.93E-01,1.09E+00
2/29/2020 10:29,9.79E-01,1.13E+00
2/29/2020 10:39,9.99E-01,1.07E+00
2/29/2020 10:50,9.85E-01,1.11E+00
2/29/2020 10:59,9.77E-01,1.15E+00
2/29/2020 11:09,1.02E+00,1.13E+00
2/29/2020 11:19,9.47E-01,1.11E+00
2/29/2020 11:29,1.12E+00,1.08E+00
2/29/2020 11:39,9.98E-01,1.07E+00
2/29/2020 11:49,1.02E+00,1.07E+00
2/29/2020 12:00,1.13E+00,1.08E+00
2/29/2020 12:09,9.67E-01,1.11E+00
2/29/2020 12:19,9.75E-01,1.05E+00
2/29/2020 12:29,1.03E+00,1.05E+00
2/29/2020 12:39,1.04E+00,1.08E+00
2/29/2020 12:49,1.03E+00,1.08E+00
2/29/2020 12:59,1.05E+00,1.07E+00
2/29/2020 13:10,8.98E-01,1.14E+00
2/29/2020 13:20,9.34E-01,1.11E+00
2/29/2020 13:29,1.07E+00,1.12E+00
2/29/2020 13:39,1.01E+00,1.06E+00
2/29/2020 13:49,1.03E+00,1.08E+00
2/29/2020 13:59,1.02E+00,1.10E+00
2/29/2020 14:09,9.50E-01,1.11E+00
2/29/2020 14:20,9.69E-01,1.10E+00
2/29/2020 14:30,1.05E+00,1.09E+00
2/29/2020 14:39,1.05E+00,1.12E+00
2/29/2020 14:49,1.02E+00,1.13E+00
2/29/2020 14:59,1.03E+00,1.09E+00
2/29/2020 15:09,1.02E+00,1.13E+00
2/29/2020 15:19,1.07E+00,1.09E+00
2/29/2020 15:30,1.04E+00,1.12E+00
2/29/2020 15:40,9.81E-01,1.15E+00
2/29/2020 15:49,9.78E-01,1.14E+00
2/29/2020 16:09,9.97E-01,1.12E+00
2/29/2020 16:19,1.02E+00,1.07E+00
2/29/2020 16:29,1.04E+00,1.13E+00
2/29/2020 16:40,9.17E-01,1.10E+00
2/29/2020 16:50,1.10E+00,1.09E+00
2/29/2020 16:59,1.16E+00,1.12E+00
2/29/2020 17:09,1.03E+00,1.08E+00
2/29/2020 17:19,1.02E+00,1.10E+00
2/29/2020 17:29,9.18E-01,1.12E+00
2/29/2020 17:39,1.04E+00,1.09E+00
2/29/2020 17:50,1.07E+00,1.12E+00
2/29/2020 18:00,1.04E+00,1.08E+00
2/29/2020 18:09,9.72E-01,1.16E+00
2/29/2020 18:19,1.07E+00,1.09E+00
2/29/2020 18:29,9.96E-01,1.14E+00
2/29/2020 18:39,1.05E+00,1.09E+00
2/29/2020 18:49,9.22E-01,1.08E+00
2/29/2020 18:59,9.32E-01,1.07E+00
2/29/2020 19:10,1.03E+00,1.08E+00
2/29/2020 19:19,9.94E-01,1.05E+00
2/29/2020 19:29,1.05E+00,1.08E+00
2/29/2020 19:39,1.05E+00,1.08E+00
2/29/2020 19:49,1.01E+00,1.13E+00
2/29/2020 19:59,9.80E-01,1.06E+00
2/29/2020 20:09,9.92E-01,1.02E+00
2/29/2020 20:20,1.02E+00,1.14E+00
2/29/2020 20:29,1.07E+00,1.13E+00
2/29/2020 20:39,1.10E+00,1.07E+00
2/29/2020 20:49,1.02E+00,1.04E+00
2/29/2020 20:59,1.05E+00,1.11E+00
2/29/2020 21:09,9.82E-01,1.09E+00
2/29/2020 21:20,1.01E+00,1.10E+00
2/29/2020 21:30,9.58E-01,1.15E+00
2/29/2020 21:39,9.90E-01,1.16E+00
2/29/2020 21:49,9.73E-01,1.10E+00
2/29/2020 21:59,1.01E+00,1.10E+00
2/29/2020 22:09,9.99E-01,1.08E+00
2/29/2020 22:19,1.03E+00,1.11E+00
2/29/2020 22:29,9.82E-01,1.09E+00
2/29/2020 22:40,9.99E-01,1.06E+00
2/29/2020 22:49,1.10E+00,1.10E+00
2/29/2020 22:59,9.94E-01,1.12E+00
2/29/2020 23:09,9.71E-01,1.07E+00
2/29/2020 23:19,9.82E-01,1.14E+00
2/29/2020 23:29,9.55E-01,1.14E+00
2/29/2020 23:39,1.03E+00,1.13E+00
2/29/2020 23:50,8.35E-01,1.08E+00
3/1/2020 0:00,9.86E-01,1.11E+00
3/1/2020 0:09,1.05E+00,1.13E+00
3/1/2020 0:19,9.55E-01,1.11E+00
3/1/2020 0:29,1.03E+00,1.09E+00
3/1/2020 0:39,1.01E+00,1.09E+00
3/1/2020 0:50,1.02E+00,1.17E+00
3/1/2020 1:00,1.09E+00,1.11E+00
3/1/2020 1:09,9.65E-01,1.09E+00
3/1/2020 1:19,1.02E+00,1.04E+00
3/1/2020 1:29,1.03E+00,1.12E+00
3/1/2020 1:39,9.86E-01,1.08E+00
3/1/2020 1:49,1.04E+00,1.08E+00
3/1/2020 2:00,9.85E-01,1.08E+00
3/1/2020 2:10,9.67E-01,1.09E+00
3/1/2020 2:19,1.07E+00,1.14E+00
3/1/2020 2:29,8.57E-01,1.08E+00
3/1/2020 2:39,1.05E+00,1.12E+00
3/1/2020 2:49,9.95E-01,1.12E+00
3/1/2020 2:59,1.05E+00,1.10E+00
3/1/2020 3:10,1.04E+00,1.11E+00
3/1/2020 3:20,1.03E+00,1.09E+00
3/1/2020 3:29,1.01E+00,1.13E+00
3/1/2020 3:39,9.95E-01,1.11E+00
3/1/2020 3:49,1.02E+00,1.11E+00
3/1/2020 3:59,9.27E-01,1.08E+00
3/1/2020 4:09,1.01E+00,1.11E+00
3/1/2020 4:20,9.68E-01,1.11E+00
3/1/2020 4:30,1.04E+00,1.06E+00
3/1/2020 4:39,1.03E+00,1.13E+00
3/1/2020 4:49,9.13E-01,1.10E+00
3/1/2020 4:59,1.10E+00,1.16E+00
3/1/2020 5:09,1.08E+00,1.09E+00
3/1/2020 5:19,1.11E+00,1.08E+00
3/1/2020 5:30,1.02E+00,1.10E+00
3/1/2020 5:40,1.03E+00,1.08E+00
3/1/2020 5:49,1.02E+00,1.06E+00
3/1/2020 5:59,1.05E+00,1.07E+00
3/1/2020 6:09,1.04E+00,1.12E+00
3/1/2020 6:19,1.15E+00,1.08E+00
3/1/2020 6:29,1.04E+00,1.11E+00
3/1/2020 6:39,1.06E+00,1.09E+00
3/1/2020 6:50,9.21E-01,1.05E+00
3/1/2020 6:59,9.62E-01,1.12E+00
3/1/2020 7:09,9.65E-01,1.11E+00
3/1/2020 7:19,1.03E+00,1.10E+00
3/1/2020 7:29,9.62E-01,1.10E+00
3/1/2020 7:39,9.54E-01,1.07E+00
3/1/2020 7:49,1.08E+00,1.12E+00
3/1/2020 8:00,9.49E-01,1.10E+00
3/1/2020 8:10,1.03E+00,1.12E+00
3/1/2020 8:19,9.78E-01,1.16E+00
3/1/2020 8:29,1.02E+00,1.13E+00
3/1/2020 8:39,9.23E-01,1.11E+00
3/1/2020 8:49,9.04E-01,1.07E+00
3/1/2020 8:59,9.58E-01,1.07E+00
3/1/2020 9:10,1.01E+00,1.10E+00
3/1/2020 9:20,1.02E+00,1.12E+00
3/1/2020 9:29,1.07E+00,1.16E+00
3/1/2020 9:39,1.09E+00,1.13E+00
3/1/2020 9:49,9.45E-01,1.08E+00
3/1/2020 9:59,1.09E+00,1.11E+00
3/1/2020 10:09,1.05E+00,1.10E+00
3/1/2020 10:20,1.02E+00,1.07E+00
3/1/2020 10:30,1.01E+00,1.06E+00
